CUI,CAEN,ACTIVE IMOBILIZATE - TOTAL,ACTIVE CIRCULANTE - TOTAL din care:,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI - TOTAL din care:,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profitul brut,Pierdere bruta,Profitul net,Pierdere neta,Numar mediu de salariati
6045338,4645,12844891,42639335,14444934,24441222,3753179,154476,15935354,45500,400910,39256938,11550,,88531726,89710255,84404858,5305397,0,4379452,0,195
6088100,4120,11589042,12687129,91138,9499808,3096183,0,13818146,0,0,10458025,2589504,0,44588768,46151700,39344910,6806790,0,5658576,0,112
6090967,3522,60300503,19621302,1758591,15195126,2667585,117183,35025763,12350665,0,32662560,20010000,,53179941,54680374,54675806,4568,0,4568,0,104
6121230,1102,22933908,23437945,14421164,6978241,2038540,73470,17508756,3335551,464613,25136403,35400000,,19433162,21738189,20699567,1038622,0,1038622,0,95
6151649,4618,1758108,14268089,232822,12442248,1593019,216090,11762752,,,4479535,6418180,,67664443,67831603,66445705,1385898,0,937964,0,62
6161022,1082,33408226,37153613,13391029,21201634,2560950,298541,51422238,,622636,18815506,1326750,,106278058,109244687,104570113,4674574,0,4080070,0,414
6176724,3109,11517709,9319519,2165598,7043777,110144,7410,11043443,,,9801195,1670,,23593734,23189034,22277228,911806,0,747091,0,118
6220293,4690,12206523,32100072,5959621,16747807,8961962,8349,30740111,,,13574833,100000,,49222321,52128799,51366634,762165,0,751147,0,80
6243289,4773,224212894,28924867,16987307,6504787,5432773,307529,74227170,,3772320,175445800,153600,,40780875,42486373,46392425,0,3906052,0,4212586,120
6254512,4120,7441664,8121323,1968678,5660049,492596,15192,8829931,,,6748248,250000,,19505404,19553790,14951491,4602299,0,3871134,0,125
6286026,4614,10725938,33375368,26551437,6408582,415349,0,36907399,0,0,7193907,9509900,0,49399355,50508537,49607946,900591,0,755895,0,19
