CUI,CAEN,ACTIVE IMOBILIZATE - TOTAL,ACTIVE CIRCULANTE - TOTAL din care:,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI - TOTAL din care:,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profitul brut,Pierdere bruta,Profitul net,Pierdere neta,Numar mediu de salariati
18737839,4633,5955197,5647984,2181120,3179676,287188,47088,7013598,0,0,4636671,20000,,23090800,23141810,22175518,966292,0,804873,0,33
18748110,9200,3701406,5057181,1707680,470211,2879290,4808621,4731067,,0,8836141,1000000,,52150554,55271376,52770450,2500926,0,0,265834,437
18785887,6420,38100000,19372325,116328,18859155,46842,13800,9532730,,,47953395,1000100,,5319530,34687800,6730483,27957317,0,27957317,0,81
18787381,2211,361557378,36407676,21418251,8170252,6819173,486246,68669975,,1931741,327849584,797420000,,69855965,80415535,108725472,0,28309937,0,28309937,370
18821734,6820,177666589,89117887,,67238511,21879376,201365,168134193,8727308,,90124340,2500,,55020789,77895417,38455148,39440269,0,34433106,0,2
18830740,5510,47309321,2911922,1240196,1128077,543649,,69564761,,,-19343518,39443854,,10206432,10843647,14352196,0,3508549,0,3711055,111
18873261,5610,3139297,5035125,4456161,486224,92740,389358,19048634,0,0,-10484854,200,0,21865535,22480217,22085847,394370,0,174572,0,182
18888793,7112,1560089,33371804,521,28112902,5258381,3210604,19404309,3209668,916240,14612280,35000,,63514059,64669466,62793400,1876066,0,1417907,0,395
18902723,5224,1308437,10897819,93944,4088137,6715738,149344,2739919,,431808,9183873,1000,,16401927,19763224,16970149,2793075,0,2504887,0,175
18939374,4675,2117201,26950996,7957573,13830786,5162637,357823,24134471,,195280,5096269,4014140,,68949381,69758698,67422998,2335700,0,2110950,0,68
18955469,4674,7062783,22198550,9767093,11569464,861993,,16619036,,,12642297,200,,39209671,39572682,34589742,4982940,0,4264349,0,40
18981735,4120,10950158,29689127,4296404,17351420,8041303,28551,32592186,,,8075650,35000,,88157850,88430669,86309850,2120819,0,1762124,0,58
18990288,7312,6304500,27123460,504216,24487269,2131975,82154,97044253,1132476,5451441,-70118056,405341550,,50059210,337426063,37057328,300368735,0,300368735,0,231
19024418,4212,16259918,146357261,85901935,33817646,26637680,1055230,141814692,2023828,731418,19102471,11655200,,96547076,143205690,139308654,3897036,0,1780555,0,321
19035549,4110,702681862,84222464,,57043028,27179436,46778175,839677794,7741708,,-13737001,85989840,,90129244,117650221,135902726,0,18252505,0,18252505,
